title;rating;score;director
Yojimbo, o Guarda-Costas;Yojimbo, o Guarda-Costas;Yojimbo, o Guarda-Costas;Yojimbo, o Guarda-Costas
Onde os Fracos Não Têm Vez;Onde os Fracos Não Têm Vez;Onde os Fracos Não Têm Vez;Onde os Fracos Não Têm Vez
Kill Bill: Volume 1;Kill Bill: Volume 1;Kill Bill: Volume 1;Kill Bill: Volume 1
Monty Python em Busca do Cálice Sagrado;Monty Python em Busca do Cálice Sagrado;Monty Python em Busca do Cálice Sagrado;Monty Python em Busca do Cálice Sagrado
O Enigma de Outro Mundo;O Enigma de Outro Mundo;O Enigma de Outro Mundo;O Enigma de Outro Mundo
Fugindo do Inferno;Fugindo do Inferno;Fugindo do Inferno;Fugindo do Inferno
Rashomon;Rashomon;Rashomon;Rashomon
Procurando Nemo;Procurando Nemo;Procurando Nemo;Procurando Nemo
O Homem Elefante;O Homem Elefante;O Homem Elefante;O Homem Elefante
Chinatown;Chinatown;Chinatown;Chinatown
O Castelo Animado;O Castelo Animado;O Castelo Animado;O Castelo Animado
Disque M para Matar;Disque M para Matar;Disque M para Matar;Disque M para Matar
...E o Vento Levou;...E o Vento Levou;...E o Vento Levou;...E o Vento Levou
V de Vingança;V de Vingança;V de Vingança;V de Vingança
Touro Indomável;Touro Indomável;Touro Indomável;Touro Indomável
Jogos, Trapaças e Dois Canos Fumegantes;Jogos, Trapaças e Dois Canos Fumegantes;Jogos, Trapaças e Dois Canos Fumegantes;Jogos, Trapaças e Dois Canos Fumegantes
Homem-Aranha: Sem Volta para Casa;Homem-Aranha: Sem Volta para Casa;Homem-Aranha: Sem Volta para Casa;Homem-Aranha: Sem Volta para Casa
Os Suspeitos;Os Suspeitos;Os Suspeitos;Os Suspeitos
O Segredo dos Seus Olhos;O Segredo dos Seus Olhos;O Segredo dos Seus Olhos;O Segredo dos Seus Olhos
Divertida Mente;Divertida Mente;Divertida Mente;Divertida Mente
Três Anúncios para um Crime;Três Anúncios para um Crime;Três Anúncios para um Crime;Três Anúncios para um Crime
A Ponte do Rio Kwai;A Ponte do Rio Kwai;A Ponte do Rio Kwai;A Ponte do Rio Kwai
Trainspotting: Sem Limites;Trainspotting: Sem Limites;Trainspotting: Sem Limites;Trainspotting: Sem Limites
Fargo: Uma Comédia de Erros;Fargo: Uma Comédia de Erros;Fargo: Uma Comédia de Erros;Fargo: Uma Comédia de Erros
Guerreiro;Guerreiro;Guerreiro;Guerreiro
Gran Torino;Gran Torino;Gran Torino;Gran Torino
Prenda-me se for Capaz;Prenda-me se for Capaz;Prenda-me se for Capaz;Prenda-me se for Capaz
